SERAMİK (BEYAZ) ÇAMURU İÇİN :,KG/gün,AYLIK,YILLIK,Unnamed: 4
1.Kaolen  (22-26 alümina 63 mikron)                                       ,7.000 kg,182.000 KG,2.100.000 KG ,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
2.Kil  (63 mikron)                                                                              ,4.375  kg,113.750 KG,1.312.500 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
3.Feldspat  (45 mikron )                                                                  ,700 KG,18.200 KG,210.000 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
4.Kuvars ( 45 mikron )                                                                        ,700 KG,18.200 KG,210.000 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
5.Kalsit  (Standart )                                                                          ,1.120 KG,29.120 KG,336.000 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
,,,,
,,,,
KIRMIZI ŞAMOT ÇAMURU İÇİN :,KG/gün,AYLIK,YILLIK,
1.Kırmızı Kil ( Toprak ) (Öğütülmüş temiz 60 mikron)         ,5.600 KG,145.600 KG,1.680.000 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
2.Kaolen (22-26 alümina 63 mikron)                                         ,2.800 KG,72.800 KG,840.000 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
3..Kuvars ( 45 mikron )                                                                 ,1.400 KG,36.400 KG,420.000 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
4.Şamot (Örgü Harcı ÇT.H36 )                                                       ,2.800 KG,72.800 KG,840.000 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
5.Sodyum Feldspat ( 63 mikron )                                              ,1.400 KG,36.400 KG,420.000 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
,,,,
,,,,
TRANSPARAN SIR İÇİN (Seramik ve Kırmızı Ürün Sırlama ),KG/gün,AYLIK,YILLIK,
1.Transparan Firit                                                                              ,2.324 KG,60.424 KG,697.200 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
40 /35 Gizemfirit                                                                                ,196 KG,5.096 KG,58.800 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
2.Kaolen (22-26 alümina 63 mikron)                                       ,168 KG,4.368 KG,50.400 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
3.Bentonit (45 mikron )                                                                ,84 KG,2.184 KG,25.200 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
4.Magnezyum (MGCİ )                                                                  ,14 KG,364 KG,4.200 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
5.SİEMSİ (CMC)                                                                               ,8 KG,208 KG,2.400 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
6.Sodyum (STPP)                                                                                                  56 KG      ,6 KG,156 KG,1.800 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
,,,,
RENKLİ SIR İÇİN BOYA TÜKETİMİ :,KG / gün,AYLIK,YILLIK,
1.ZÜMRÜT (Sulu sırra göre)                                                                                                                                            ,98,2.548 KG,29.400 KG,Çalışma gün sayısı 300 gün olarak baz alınmıştır.
,,,,
"NOT :                                                                                                                                                                                                                                                                A) İŞLETME MAKSİMUM ÜRETİM KAPASİTEMİZİ % 50 SERAMİK ÇAMURU , % 50 KIRMIZI ŞAMOT ÇAMURU OLARAK DÜŞÜNÜLDÜĞÜNDEKİ GÜNLÜK , AYLIIK VE YILLIK HAM MADDE MİKTARLARIMIZ YUKARIDA BELİRTİLMİŞTİR.                                                                                                                                                                            B)İŞLETME MAKSİMUM ÜRETİM KAPASİTEMİZDE SIR TÜKETİMİMİZ TRANSPARAN SIR BAZ ALINARAK HESAPLANMIŞTIR.RENKLİ OLARAKTA İSTENİR İSE 1 RENK BAZ ALINIP GÜNLÜK , AYLIK VE YILLIK BOYA TÜKETİMİMİZ YUKARIDAKİ ÇİZELGEDEKİ GİBİDİR.",,,,
,,,,
,,,,
,,,,
,,,,             
