Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
SIRA NO,ARGE- LABORATUVAR ve PROSES BÖLÜMÜ MAK.LİSTESİ.,Miktar,,Birim,KW,Yerli / İthal,Fiyat,Toplam
1,TİTREŞİMLİ ELEK ve ELEK SETİ,2,,Adet,,Y,3000,"6,000.00 €"
2,NEM TAYİN CİHAZI,2,,Adet,,Y,2500,"5,000.00 €"
3,LABORATUVAR YÜKSEK SICAKLIK FIRINI 1750 'C,1,,Adet,,Y,15000,"15,000.00 €"
4,ETÜV FIRINI,2,,Adet,,Y,7000,"14,000.00 €"
5,BİLYALI DEĞİRMEN 10KG'LIK,1,,Adet,4,Y,2500,"2,500.00 €"
6,BİLYALI DEĞİRMEN 50KG'LIK,1,,Adet,5.5,Y,5000,"5,000.00 €"
7,LABORATUVAR TİPİ FİLTERPRES,1,,Adet,4,Y,6000,"6,000.00 €"
8,HİDROLİK PRES ve KALIPLARI 150 TONLUK,1,,Ara,5.5,Y,18000,"18,000.00 €"
9,MİKSER 10KGLIK,1,,Adet,1,Y,1000,"1,000.00 €"
10,MİKSER 50KGLIK,1,,Adet,3,Y,2000,"2,000.00 €"
11,"HASSAS TERAZİ  0,0001 HASSASİYET 100GR'LIK",2,,Adet,,Y,1000,"2,000.00 €"
12,"HASSAS TERAZİ  0,001 HASSASİYET 500GR'LIK",2,,Adet,,Y,500,"1,000.00 €"
13,"HASSAS TERAZİ  0,01 HASSASİYET 3KG'LIK",2,,Adet,,y,400,800.00 €
14,MUKAVEMET TEST CİHAZI,1,,Adet,,Y,10000,"10,000.00 €"
15,OTOMATTİK SPRAY KABİNİ SULU,1,,A,2,Y,2500,"2,500.00 €"
16,DİJİTAL KUMPAS 200mmlik,2,,Adet,,Y,500,"1,000.00 €"
17,DİJİTAL KUMPAS 500mmlik,2,,Adet,,Y,1000,"2,000.00 €"
18,YÜZEY AŞINMA CİHAZI,1,,Adet,,Y,15000,"15,000.00 €"
19,LABORATUVAR JET DEĞİRMENİ ÇİFTLİ ,2,,Adet,1,Y,3500,"7,000.00 €"
19,TRANSPALET 3 TONLUK ,1,,Adet,,Y,320,320.00 €
20,,,,,26KW,,TOPLAM,"116,120.00 €"
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
