Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
SIRA NO,FIRINLAR  ve MAMÜL KURUTMA MAKİNA LİSTESİ.,Miktar,,Birim,KW,Yerli / İthal,Fiyat,Toplam
1,ROLLER FIRIN 1250 *C YAN TRANFER BANTLI OTOMATİK  50 mt.,2,,Adet,80,İ,,0.00 €
2,ROLLER FIRIN REFRAKTÖR Ü OSİC PLATE 10 x 400 x 500 mm ,1000,,Adet,,İ,34,"34,000.00 €"
3,DOGALGAZLI KAMARA FIRINI 5m3 LÜK ÇİFT  ARABALI 1250 *C lik. 5 m3 'lük,4,,Adet,30,Y,42500,"170,000.00 €"
4,KAMARA FIRIN REFRAKTÖRÜ.CERAMİC EXTRUDED PLATE 25x400x500 mm,500,,Adet,,İ,40,"20,000.00 €"
5,KAMARA FIRIN PLAKA RAF AYAĞI MUHTALİF ÖLÇÜLERDE,750,,Adet,,İ,18,"13,500.00 €"
6,KUMLAMA MAKİNASI TEK HÜCRELİ ,1,,Adet,5,Y,14500,"14,500.00 €"
7,ASTAR MAKİNASI ve KABİNİ KOMPLE,1,,Adet,3,Y,7500,"7,500.00 €"
8, AKÜLÜ  İSTİF TRANSPALETİ LİNDE L16,1,,Adet,,,21000,"21,000.00 €"
9, REFRAKTÖR STOK RAFI AMBAR RAFI 1050*2700*5600,5,,Adet,118,Y,2000,"10,000.00 €"
,,,,,118KW,,TOPLAM,"290,500.00 €"
