Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
SIRA NO,MODELHANE ve RAM PRES KALIP HAZIR. BÖLÜMÜ MAKİNA LİST.,Miktar,,Birim,KW,Yerli / İthal,Fiyat,Toplam
1,MODELCİ TORNASI,1,,Adet,3,Y,5000,"5,000.00 €"
2,RAM PRES ALÇİ KARIŞTIRMA MİKSERİ,1,,Adet,3,Y,3000,"3,000.00 €"
3,"ALÇI STOK VE BESLEME SİSTEMİ ( BUNKER, HELEZON VB. )",1,,Takım,15,Y,15000,"15,000.00 €"
4,MODELCİ EL ALETLERİ,4,,Takım,,Y,2000,"8,000.00 €"
5,"3D YAZICI 200*200, 400*400",2,,Adet,,Y,10000,"20,000.00 €"
6,İŞLETME ROBOTİK JET FİLTRE 2000 m3'Lük,2,,Adet,10,Y,4750,"9,500.00 €"
7,MODELHANE BÖLÜMÜ RAF 1050*2700*5500,4,,Ara,,Y,2000,"8,000.00 €"
8,RAM PRES KALIP HAZIRLAMA PLEYTİ,2,,Adet,,Y,2000,"4,000.00 €"
9,TRANSPALET 3 TONLUK ,2,,Adet,,Y,320,640.00 €
10,RAM PRES KALIPLARI,12,,Adet,,Y,1500,"18,000.00 €"
11,KURU PRES KALIPLARI,6,,Takım,,Y,20000,"120,000.00 €"
12,AKÜLÜ İSTİF MAKİNASI LİNDE L16,1,,Adet,,İ,21000,"21,000.00 €"
,,,,,31KW,,TOPLAM,"232,140.00 €"
