Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
SIRA NO,PAKETLEME VE SEVKİYAT BÖLÜMÜ MAKİNA LİSTESİ.,Miktar,,Birim,KW,Fiyat,Toplam
1,YARI OTOMATİK SRİNG MAKİNASI,1,,Adet,10,19500,"19,500.00 €"
2,PALAET SARMA LOBEER STREÇ MAKİNASI X SERİSİ,1,,Adet,5,9500,"9,500.00 €"
3,PAKETLEME ÜRÜN VE KOLİ RAFI 1050*2700*5600,20,,Adet,,2000,"40,000.00 €"
4, AKÜLÜ  İSTİF TRANSPALETİ LİNDE L16,1,,Adet,,21000,"21,000.00 €"
5,ALT DAMGA TAMPON MAKİNASI PRİNT 135 mm,1,,Adet,Adet,12500,"12,500.00 €"
6,FİLELEME MAKİNASI 20mt.,1,1.0,Adet,5,50000,50000
7,TRANSPALET 3 TONLUK ,3,,Adet,Adet,320,960.00 €
,,,,,,,
,,,,,,,
,,,,,20KW,TOPLAM,153460
