Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
SIRA NO,OPAK ve TRANSPARAN SIR HAZIRLAMA MAK.LİST.,Miktar,,,Birim,KW,Yerli / İthal,Fiyat,Toplam
1,TARTIMLI PASLANMAZ VİBRO BESLEYİCİLİ BUNKER 5 m3 LÜK,2,,,Adet,12,Y,22500,"45,000.00 €"
2,TARTIMLI BUNKER BESLEME BANTI ÇEPLİ Z TİP,2,,,Adet,15,Y,11500,"23,000.00 €"
3,"SIR STOK HAVUZLARI PASLANMAZ 10 m3 LÜK 3 KW 16 d/d, ŞASELİ",6,,,Adet,18,Y,19500,"117,000.00 €"
4,"SIR ELEME VE SİRKÜLASYON POMPALARI ALÜMİNYUM GÖVDE 2"" DİYAFRAMLI",4,,,Adet,,Y,2500,"10,000.00 €"
5,SIR MIKNTIS SİSTEMİ OTOMATİK VE YARI OTOMATİK,4,,,Adet,,Y,4500,"18,000.00 €"
6,SIR ELEME ELEĞİ ÇAP 1000 ÇİFT KATLI PASLANMAZ,2,,,Adet,6,Y,5500,"11,000.00 €"
7,SIR ELEME ELEĞİ ÇAP 1000 ÇİFT KATLI PASLANMAZ MIKN. POMPA ARABALI,2,,,Adet,3,Y,5500,"11,000.00 €"
8,ALÜMİNA TUĞLALI DEĞİRMEN 2 m3 LÜK ,2,,,Adet,11,Y,28500,"57,000.00 €"
9,SIR ELEĞİ PASLANMAZ DİKDÖRTGEN,6,,,Adet,9,Y,4000,"24,000.00 €"
10,"RENKLİ SIR TAŞIMA KÜVETİ PASLANMAZ 500 LT LİK 1"" POMPALI",6,,,Adet,9,Y,3000,"18,000.00 €"
11,ASANSÖRLÜ PASLANMAZ KARIŞTIRICI. 1.000 LT.,2,,,Adet,22,Y,12000,"24,000.00 €"
12,ASANSÖRLÜ PASLANMAZ KARIŞTIRICI 300 LT.,2,,,Adet,11,Y,7000,"14,000.00 €"
13,TRANSPALET 3 TONLUK ,2,,Adet,Adet,,Y,320,3000
,ALÜMİNA BİLYA ÇAP: 20 mm  ve ÇAP:50 mm Arası,10,,,TON,,İ,1750,17500
14,RENKLİ SIR KAZANLARI PASLANAMZ  KARIŞTIRICILI 500 Lt.  16 d/d,10,,,Adet,22,Y,2500,25000
,,,,,,116 KW,,TOPLAM,"417,500.00 €"
,,,,TON,,,,,
