Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
SIRA NO,SIRLAMA BÖLÜMÜ MAKİNA LİSTESİ.,Miktar,,Birim,KW,Yerli / İthal,Fiyat,Toplam
1,BALERİN SIRLAMA MAKİNASI 29 BOMSELİ PASLANMAZ AİRLES POMPALI,2,,Adet,15,Y,52500,"105,000.00 €"
2,OTOMATİK BOMSELİ SPRAY  SIRLAMA  MAKİNASI ALT SİLME  BANTLARI 4 METRE,2,,Adet,10,Y,25000,"50,000.00 €"
3,OTOMATİK SPRAY ve DİSKLİ HASIR BANTLI SIRLAM MAKİNASI. BANTLI,2,,Adet,10,Y,27500,"55,000.00 €"
4,"SIR KÜVETİ 500 LT KARIŞTIRICILI , POMPALI VE ELEKLİ",6,,Adet,,Y,6000,"36,000.00 €"
5,SIRLAMA BÖLÜMÜ ÜRÜN STOK ARABALARI ETRAFI KAPALI,20,,Adet,,Y,650,"13,000.00 €"
6,"SIRLAMA BÖLÜMÜ HASSAS TERAZİ 0,02 GR HASSASİYET",2,,Adet,,Y,2000,"4,000.00 €"
7,DİJİTAL MAKİNA K-700S / 240 MASTER,1,,Adet,,İ,216000,"216,000.00 €"
8,DİJİTAL MAKİNA İÇİN KLİMA 24000'lik,1,,Adet,2,Y,5000,"5,000.00 €"
9,TİTANYUM KAPLAMA MAKİNASI,1,,Adet,15,İ,186000,"186,000.00 €"
10,SIRLAMA BÖLÜMÜ SIRLAMA BANTLARI 12' mt.lik,4,,Adet,10,Y,3200,"12,800.00 €"
11,ALÜMİNA BİLYA ÇAP: 20 mm  ve ÇAP:50 mm Arası,10,,TON,,,,
12,TRANSPALET 3 TONLUK ,4,,Adet,,Y,320,"1,280.00 €"
,,,,,62KW,,TOPLAM,"684,080.00 €"
