Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
SIRA NO,ŞEKİLLENDİRME BÖLÜMÜ MAKİNA LİSTESİ,Miktar,,Birim,KW,Yerli / İthal,Fiyat,Toplam
1,KURU PRES 1.400 TONLUK,2,,Adet,,İ,,
2,KURU PRES 400 TONLUK,2,,Adet,,İ,,
3,"KURU PRES ÇIKIŞ KURUTMASI  3000 mm x 12.600mm ,300 *C'lik",2,,Adet,,İ,,
4,TELEFERİK SİSTEMİ 250 SEPETLİ 892 x 1200 x 1500 mm Sepet ölçülü,1,,Takım,7.5,Y,207500,"207,500.00 €"
5,MEKANİK RUTUŞ MAKİNASI,6,,Adet,6,Y,3000,"18,000.00 €"
6,ÇAMUR KESME ve ŞEKİLLENDİRME BANTLI. 600 x 3000 mm ÖLÇÜSÜNDE,3,,Adet,9,Y,12000,"36,000.00 €"
7,RAM PRES BÜYÜK TABLALI 800 x 1000 mm ,2,,Adet,30,Y,33000,"66,000.00 €"
8,RAM PRES ORTA TABLALI 500 x 500 mm ,4,,Adet,30,Y,21000,"84,000.00 €"
9,"LE KURUTMA 60 BEŞİKLİ OTOMATİK SİSTEMLİ, ISI ÜRETİMLİ ",3,,Adet,18,Y,60000,"180,000.00 €"
10,TALAŞ ARABALARI DAMPERLİ PASLANMAZ (TOPLAM İŞLETMEYE),20,,Adet,,Y,500,"10,000.00 €"
11, AKÜLÜ  İSTİF TRANSPALETİ LİNDE L16,1,,Adet,,Y,21000,"21,000.00 €"
12,ÜRÜN MAMÜL ARABASI 892 x 1200 x 1500 mm TEKERLİ,20,,Adet,,Y,650,"13,000.00 €"
13,SERAMİK KESİM MAKİNASI ÇOKLU 500'LİK.,1,,Adet,25,Y,28000,"28,000.00 €"
14,SERAMİK KESİM MAKİNASI ÇOKLU 650'LİK.,1,,Adet,25,Y,33000,"33,000.00 €"
15, BİSKÜVİ STOK RAFI AMBAR RAFI 1050*2700*5600,10,,Takım,,Y,2000,"20,000.00 €"
16,TRANSPALET 3 TONLUK ,3,,Adet,,Y,320,960.00 €
17,FABRİKA İÇİ TEMİZLEME SÜPÜRGESİ ( SULU TİP ) ŞARZLI,2,,Adet,,Y,5000,"10,000.00 €"
,,,,,"150,5KW",,TOPLAM,727460
